ac_no,ac_name,ac_name_results,winner_party,winner_candidate,winner_votes,winner_pct,runner_party,runner_candidate,runner_votes,runner_pct,margin_votes,margin_pct_points,winner_bloc,runner_bloc,voting_date
1,Mekliganj (SC),MEKLIGANJ (SC),AITC,Paresh Chandra Adhikary,99338,49.98,BJP,Dadhiram Ray,84653,42.59,14685,7.3899999999999935,AITC Bloc,BJP,10 April 2021
2,Mathabhanga (SC),MATHABHANGA (SC),BJP,Sushil Barman,113249,52.87,AITC,Girindra Nath Barman,87115,40.67,26134,12.199999999999996,BJP,AITC Bloc,10 April 2021
3,Cooch Behar Uttar (SC),COOCH BEHAR UTTAR (SC),BJP,Sukumar Roy,120483,49.4,AITC,Binay Krishna Barman,105868,43.4,14615,6.0,BJP,AITC Bloc,10 April 2021
4,Cooch Behar Dakshin,COOCH BEHAR DAKSHIN,BJP,Nikhil Ranjan Dey,96629,46.83,AITC,Avijit De Bhowmik,91830,44.31,4799,2.519999999999996,BJP,AITC Bloc,10 April 2021
5,Sitalkuchi (SC),SITALKUCHI (SC),BJP,Baren Chandra Barman,124955,50.8,AITC,Partha Pratim Ray,107140,43.56,17815,7.239999999999995,BJP,AITC Bloc,10 April 2021
6,Sitai (SC),SITAI (SC),AITC,Jagadish Chandra Barma Basunia,117908,49.42,BJP,Dipak Kumar Roy,107796,45.18,10112,4.240000000000002,AITC Bloc,BJP,10 April 2021
7,Dinhata,DINHATA,BJP,Nisith Pramanik,116035,47.6,AITC,Udayan Guha,115978,47.58,57,0.020000000000003126,BJP,AITC Bloc,10 April 2021
8,Natabari,NATABARI,BJP,Mihir Goswami,111743,51.45,AITC,Rabindra Nath Ghosh,88303,40.66,23440,10.790000000000006,BJP,AITC Bloc,10 April 2021
9,Tufanganj,TUFANGANJ,BJP,Malati Rava Roy,114503,54.69,AITC,Pranab Kumar Dey,83305,39.79,31198,14.899999999999999,BJP,AITC Bloc,10 April 2021
10,Kumargram (ST),KUMARGRAM (ST),BJP,Manoj Kumar Oraon,111974,48.16,AITC,Leos Kujar,100973,43.43,11001,4.729999999999997,BJP,AITC Bloc,10 April 2021
11,Kalchini (ST),KALCHINI (ST),BJP,Bishal Lama,103104,52.65,AITC,Pasang Lama,74528,38.06,28576,14.589999999999996,BJP,AITC Bloc,10 April 2021
12,Alipurduars,ALIPURDUARS,BJP,Suman Kanjilal,107333,48.19,AITC,Sourav Chakraborty,91326,41.0,16007,7.189999999999998,BJP,AITC Bloc,10 April 2021
13,Falakata,FALAKATA,BJP,Dipak Barman,102993,46.71,AITC,Subhash Chanda Roy,99003,44.9,3990,1.8100000000000023,BJP,AITC Bloc,10 April 2021
14,Madarihat,MADARIHAT,BJP,Manoj Tigga,90718,54.35,AITC,Rajesh Lakra,61033,36.56,29685,17.79,BJP,AITC Bloc,10 April 2021
15,Dhupguri (SC),DHUPGURI (SC),BJP,Bishnu Pada Ray,104688,45.64,AITC,Mitali Roy,100333,43.75,4355,1.8900000000000006,BJP,AITC Bloc,17 April 2021
16,Maynaguri (SC),MAYNAGURI (SC),BJP,Kaushik Roy,115306,48.84,AITC,Manoj Roy,103395,43.79,11911,5.050000000000004,BJP,AITC Bloc,17 April 2021
17,Jalpaiguri (SC),JALPAIGURI (SC),AITC,Pradip Kumar Barma,95668,42.34,BJP,Sujit Singha,94727,41.93,941,0.4100000000000037,AITC Bloc,BJP,17 April 2021
18,Rajganj (SC),RAJGANJ (SC),AITC,Khageswar Roy,104641,48.5,BJP,Supen Roy,88868,41.19,15773,7.310000000000002,AITC Bloc,BJP,17 April 2021
19,Dabgram-Phulbari,DABGRAM-PHULBARI,BJP,Sikha Chatteree,129088,49.85,AITC,Goutam Deb,101495,39.19,27593,10.660000000000004,BJP,AITC Bloc,17 April 2021
20,Mal (ST),MAL (ST),AITC,Bulu Chik Baraik,99086,46.46,BJP,Mahesh Bagey,93621,43.9,5465,2.5600000000000023,AITC Bloc,BJP,17 April 2021
21,Nagrakata (ST),NAGRAKATA (ST),BJP,Puna Bhengra,70945,47.78,AITC,Joseph Munda,56543,38.08,14402,9.700000000000003,BJP,AITC Bloc,17 April 2021
22,Kalimpong,KALIMPONG,GJM (Tamang),Ruden Sada Lepcha,58206,37.59,BJP,Suva Pradhan,54336,35.09,3870,2.5,AITC Bloc,BJP,17 April 2021
23,Darjeeling,DARJEELING,BJP,Neeraj Zimba,68907,40.88,GJM (Tamang),Keshav Raj Sharma,47631,28.26,21726,12.620000000000001,BJP,AITC Bloc,17 April 2021
24,Kurseong,KURSEONG,BJP,Bishnu Prasad Sharma,73475,41.86,GJM (Tamang),Tshering Lama Dahal,57960,33.02,15515,8.839999999999996,BJP,AITC Bloc,17 April 2021
25,Matigara-Naxalbari (SC),MATIGARA-NAXALBARI (SC),BJP,Anandamoy Barman,139785,58.1,AITC,Rajen Sundas,68454,28.65,70848,29.450000000000003,BJP,AITC Bloc,17 April 2021
26,Siliguri,SILIGURI,BJP,Shankar Ghosh,89370,50.03,AITC,Om Prakash Mishra,53784,30.11,35586,19.92,BJP,AITC Bloc,17 April 2021
27,Phansidewa (ST),PHANSIDEWA (ST),BJP,Durga Murmu,105651,50.89,AITC,Choton Kisku,77940,37.55,27711,13.340000000000003,BJP,AITC Bloc,17 April 2021
28,Chopra,CHOPRA,AITC,Hamidul Rahaman,124923,61.2,BJP,Md. Shahin Akhtar,59604,29.4,65319,31.800000000000004,AITC Bloc,BJP,22 April 2021
29,Islampur,ISLAMPUR,AITC,Abdul Karim Chowdhury,100131,58.91,BJP,Saumya Roop Mandal,62691,36.88,37440,22.029999999999994,AITC Bloc,BJP,22 April 2021
30,Goalpokhar,GOALPOKHAR,AITC,Md. Ghulam Rabbani,105649,65.4,BJP,Gulam Sarwar,32135,19.89,73514,45.510000000000005,AITC Bloc,BJP,22 April 2021
31,Chakulia,CHAKULIA,AITC,Minhajul Arfin Azad,86311,49.78,BJP,Sachin Prasad,52474,30.26,33837,19.52,AITC Bloc,BJP,22 April 2021
32,Karandighi,KARANDIGHI,AITC,Goutam Pal,116594,54.7,BJP,Subhash Singha,79968,37.52,36626,17.18,AITC Bloc,BJP,22 April 2021
33,Hemtabad (SC),HEMTABAD (SC),AITC,Satyajit Burman,116425,52.14,BJP,Chandima Roy,89210,39.95,27215,12.189999999999998,AITC Bloc,BJP,22 April 2021
34,Kaliaganj (SC),KALIAGANJ (SC),BJP,Soumen Roy,116768,48.71,AITC,Tapan Dev Singha,94948,39.61,21820,9.100000000000001,BJP,AITC Bloc,22 April 2021
35,Raiganj,RAIGANJ,BJP,Krishna Kalyani,79775,49.44,AITC,Kanaia Lal Agarwal,59027,36.58,20748,12.86,BJP,AITC Bloc,22 April 2021
36,Itahar,ITAHAR,AITC,Mosaraf Hossain,114645,59.1,BJP,Amit Kumar Kundu,70670,36.43,43975,22.67,AITC Bloc,BJP,22 April 2021
37,Kushmandi (SC),KUSHMANDI (SC),AITC,Rekha Roy,89968,48.88,BJP,Ranjit Kumar Roy,77384,42.08,12584,6.800000000000004,AITC Bloc,BJP,26 April 2021
38,Kumarganj,KUMARGANJ,AITC,Toraf Hossain Mondal,89117,52.58,BJP,Manas Sarkar,59736,35.24,29381,17.339999999999996,AITC Bloc,BJP,26 April 2021
39,Balurghat,BALURGHAT,BJP,Ashok Lahiri,70484,47.25,AITC,Sekhar Dasgupta,57585,38.6,12899,8.649999999999999,BJP,AITC Bloc,26 April 2021
40,Tapan (ST),TAPAN (ST),BJP,Budhrai Tudu,84381,45.29,AITC,Kalpana Kisku,82731,44.41,1650,0.8800000000000026,BJP,AITC Bloc,26 April 2021
41,Gangarampur (SC),GANGARAMPUR (SC),BJP,Satyendra Nath Ray,88724,46.82,AITC,Goutam Das,84132,44.4,4592,2.4200000000000017,BJP,AITC Bloc,26 April 2021
42,Harirampur,HARIRAMPUR,AITC,Biplab Mitra,96131,51.23,BJP,Nilanjan Roy,73459,39.15,22672,12.079999999999998,AITC Bloc,BJP,26 April 2021
43,Habibpur (ST),HABIBPUR (ST),BJP,Joyel Murmu,94075,47.52,AITC,Prodip Baskey,74558,37.66,19517,9.860000000000007,BJP,AITC Bloc,26 April 2021
44,Gazole (SC),GAZOLE (SC),BJP,Chinmoy Deb Barman,100655,45.5,AITC,Basanti Barman,98857,44.69,1798,0.8100000000000023,BJP,AITC Bloc,26 April 2021
45,Chanchal,CHANCHAL,AITC,Nihar Ranjan Ghosh,115966,58.08,BJP,Dipankar Ram,48628,24.35,67338,33.73,AITC Bloc,BJP,26 April 2021
46,Harishchandrapur,HARISHCHANDRAPUR,AITC,Tajmul Hossain,122527,60.31,BJP,Matibur Rahaman,45054,22.18,77473,38.13,AITC Bloc,BJP,26 April 2021
47,Malatipur,MALATIPUR,AITC,Abdur Rahim Boxi,126157,68.02,BJP,Mousumi Das,34208,18.44,91949,49.58,AITC Bloc,BJP,26 April 2021
48,Ratua,RATUA,AITC,Samar Mukherjee,130674,59.63,BJP,Abhishek Singhania,55024,25.11,75650,34.52,AITC Bloc,BJP,26 April 2021
49,Manikchak,MANIKCHAK,AITC,Sabitri Mitra,110234,53.26,BJP,Gour Chandra Mandal,76356,36.89,33878,16.369999999999997,AITC Bloc,BJP,29 April 2021
50,Maldaha,MALDAHA,BJP,Gopal Chandra Saha,93398,45.23,AITC,Ujjwal Kumar Chowdhury,77942,37.75,15456,7.479999999999997,BJP,AITC Bloc,29 April 2021
51,English Bazar,ENGLISH BAZAR,BJP,Sreerupa Mitra Chaudhury,107755,49.96,AITC,Krishnendu Narayan Choudhury,87656,40.64,20099,9.32,BJP,AITC Bloc,29 April 2021
52,Mothabari,MOTHABARI,AITC,Yeasmin Sabina,97397,59.7,BJP,Shyamchand Ghosh,40824,25.02,56573,34.68000000000001,AITC Bloc,BJP,29 April 2021
53,Sujapur,SUJAPUR,AITC,Md. Abdul Ghani,152445,73.44,INC,Isha Khan Choudhury,22282,10.73,130163,62.709999999999994,AITC Bloc,Left-Cong-ISF Bloc,29 April 2021
54,Baisnabnagar,BAISNABNAGAR,AITC,Chandana Sarkar,83061,39.81,BJP,Swadhin Kumar Sarkar,80590,38.62,2471,1.1900000000000048,AITC Bloc,BJP,29 April 2021
55,Farakka,FARAKKA,AITC,Manirul Islam,102319,54.89,BJP,Hemanta Ghosh,42374,22.73,59945,32.16,AITC Bloc,BJP,26 April 2021
56,Samserganj[a][1][2][3],SAMSERGANJ[A][1][2][3],AITC,Amirul Islam,96417,51.13,INC,Zaidur Rahaman,70038,37.14,26379,13.990000000000002,AITC Bloc,Left-Cong-ISF Bloc,30 September 2021
57,Suti,SUTI,AITC,Emani Biswas,127351,58.87,BJP,Koushik Das,56650,26.19,70701,32.67999999999999,AITC Bloc,BJP,26 April 2021
58,Jangipur[a][4][5][3],JANGIPUR[A][4][5][3],AITC,Jakir Hossain,136444,68.82,BJP,Sujit Das,43964,22.17,92480,46.64999999999999,AITC Bloc,BJP,30 September 2021
59,Raghunathganj,RAGHUNATHGANJ,AITC,Akhruzzaman,126834,66.59,BJP,Golam Modaswer,28521,14.97,98313,51.620000000000005,AITC Bloc,BJP,26 April 2021
60,Sagardighi,SAGARDIGHI,AITC,Subrata Saha,95189,50.95,BJP,Mafuja Khatun,44983,24.08,50206,26.870000000000005,AITC Bloc,BJP,26 April 2021
61,Lalgola,LALGOLA,AITC,Mohammad Ali,107860,56.64,INC,Abu Hena,47153,24.76,60707,31.88,AITC Bloc,Left-Cong-ISF Bloc,26 April 2021
62,Bhagabangola,BHAGABANGOLA,AITC,Idris Ali,153795,68.05,CPI(M),Md Kamal Hossain,47787,21.15,106008,46.9,AITC Bloc,Left-Cong-ISF Bloc,26 April 2021
63,Raninagar,RANINAGAR,AITC,Abdul Soumik Hossain,134957,60.79,INC,Firoza Begam,55255,24.89,79702,35.9,AITC Bloc,Left-Cong-ISF Bloc,26 April 2021
64,Murshidabad,MURSHIDABAD,BJP,Gouri Shankar Ghosh,95967,41.86,AITC,Shaoni Singha Roy,93476,40.78,2491,1.0799999999999983,BJP,AITC Bloc,26 April 2021
65,Nabagram (SC),NABAGRAM (SC),AITC,Kanai Chandra Mondal,100455,48.18,BJP,Mohan Halder,64922,31.14,35533,17.04,AITC Bloc,BJP,26 April 2021
66,Khargram (SC),KHARGRAM (SC),AITC,Ashis Marjit,93255,50.15,BJP,Aditya Moulik,60682,32.64,32573,17.509999999999998,AITC Bloc,BJP,29 April 2021
67,Burwan (SC),BURWAN (SC),AITC,Jiban Krishna Saha,81890,46.32,BJP,Amiya Kumar Das,79141,44.76,2749,1.5600000000000023,AITC Bloc,BJP,29 April 2021
68,Kandi,KANDI,AITC,Apurba Sarkar,95399,51.16,BJP,Goutam Roy,57319,30.74,38080,20.419999999999998,AITC Bloc,BJP,29 April 2021
69,Bharatpur,BHARATPUR,AITC,Humayun Kabir,96226,50.9,BJP,Iman Kalyan Mukherjee,53143,28.11,43083,22.79,AITC Bloc,BJP,29 April 2021
70,Rejinagar,REJINAGAR,AITC,Rabiul Alam Chowdhury,118494,56.31,BJP,Arabinda Biswas,50226,23.87,68268,32.44,AITC Bloc,BJP,29 April 2021
71,Beldanga,BELDANGA,AITC,SK Hasanuzzaman,112862,55.19,BJP,Sumit Ghosh,59030,28.86,53832,26.33,AITC Bloc,BJP,29 April 2021
72,Baharampur,BAHARAMPUR,BJP,Subrata Maitra,89340,45.21,AITC,Naru Gopal Mukherjee,62488,31.62,26852,13.59,BJP,AITC Bloc,29 April 2021
73,Hariharpara,HARIHARPARA,AITC,Niamot Sheikh,102660,47.51,INC,Mir Alamgir,88594,41.0,14066,6.509999999999998,AITC Bloc,Left-Cong-ISF Bloc,29 April 2021
74,Naoda,NAODA,AITC,Sahina Momtaz Khan,117684,58.16,BJP,Anupam Mandal,43531,21.51,74153,36.64999999999999,AITC Bloc,BJP,29 April 2021
75,Domkal,DOMKAL,AITC,Jafikul Islam,127671,56.45,CPI(M),Md Mostafizur Rahaman,80442,35.57,47229,20.880000000000003,AITC Bloc,Left-Cong-ISF Bloc,29 April 2021
76,Jalangi,JALANGI,AITC,Abdur Razzak,123840,55.74,CPI(M),Saiful Islam Molla,44564,20.06,79276,35.68000000000001,AITC Bloc,Left-Cong-ISF Bloc,29 April 2021
77,Karimpur,KARIMPUR,AITC,Bimlendu Sinha Roy,110911,50.07,BJP,Samarendra Nath Ghosh,87336,39.43,23575,10.64,AITC Bloc,BJP,22 April 2021
78,Tehatta,TEHATTA,AITC,Tapas Kumar Saha,97848,44.86,BJP,Ashutosh Paul,90933,41.69,6915,3.1700000000000017,AITC Bloc,BJP,22 April 2021
79,Palashipara,PALASHIPARA,AITC,Dr. Manik Bhattacharya,110274,54.22,BJP,Bibhash Chandra Mandal,58938,28.98,51336,25.24,AITC Bloc,BJP,22 April 2021
80,Kaliganj,KALIGANJ,AITC,Nasiruddin Ahamed,111696,53.35,BJP,Abhijit Ghosh,64709,30.91,46987,22.44,AITC Bloc,BJP,22 April 2021
81,Nakashipara,NAKASHIPARA,AITC,Kallol Khan,104812,50.01,BJP,Santanu Dey,83541,39.86,21271,10.149999999999999,AITC Bloc,BJP,22 April 2021
82,Chapra,CHAPRA,AITC,Rukbanur Rahman,73866,34.65,IND,Jeber Sekh,61748,28.97,12118,5.68,AITC Bloc,Others,22 April 2021
83,Krishnanagar Uttar,KRISHNANAGAR UTTAR,BJP,Mukul Roy,109357,54.19,AITC,Koushani Mukherjee,74268,36.8,35089,17.39,BJP,AITC Bloc,22 April 2021
84,Nabadwip,NABADWIP,AITC,Pundarikakshya Saha,102170,48.52,BJP,Sidhartha Shankar Naskar,83599,39.7,18571,8.82,AITC Bloc,BJP,22 April 2021
85,Krishnanagar Dakshin,KRISHNANAGAR DAKSHIN,AITC,Ujjal Biswas,91738,46.88,BJP,Mahadev Sarkar,82433,42.13,9305,4.75,AITC Bloc,BJP,22 April 2021
86,Santipur,SANTIPUR,BJP,Jagannath Sarkar,109722,49.94,AITC,Ajoy Dey,93844,42.72,15878,7.219999999999999,BJP,AITC Bloc,17 April 2021
87,Ranaghat Uttar Paschim,RANAGHAT UTTAR PASCHIM,BJP,Parthasarathi Chatterjee,113637,50.91,AITC,Sankar Singha,90509,40.55,23128,10.36,BJP,AITC Bloc,17 April 2021
88,Krishnaganj (SC),KRISHNAGANJ (SC),BJP,Ashis Kumar Biswas,117668,50.73,AITC,Dr. Tapas Mandal,96391,41.56,21277,9.169999999999995,BJP,AITC Bloc,17 April 2021
89,Ranaghat Uttar Purba (SC),RANAGHAT UTTAR PURBA (SC),BJP,Ashim Biswas,116786,54.39,AITC,Samir Kumar Poddar,85004,39.59,31782,14.799999999999997,BJP,AITC Bloc,17 April 2021
90,Ranaghat Dakshin (SC),RANAGHAT DAKSHIN (SC),BJP,Mukut Mani Adhikari,119260,49.34,AITC,Barnali Dey Roy,102745,42.51,16515,6.830000000000005,BJP,AITC Bloc,17 April 2021
91,Chakdaha,CHAKDAHA,BJP,Bankim Chandra Ghosh,99368,46.86,AITC,Subhankar Singha,87688,41.35,11680,5.509999999999998,BJP,AITC Bloc,17 April 2021
92,Kalyani (SC),KALYANI (SC),BJP,Ambika Roy,97026,44.04,AITC,Aniruddha Biswas,94820,43.03,2206,1.009999999999998,BJP,AITC Bloc,17 April 2021
93,Haringhata (SC),HARINGHATA (SC),BJP,Asim Kumar Sarkar,97666,46.31,AITC,Nilima Nag,82466,39.11,15200,7.200000000000003,BJP,AITC Bloc,17 April 2021
94,Bagda (SC),BAGDA (SC),BJP,Biswajit Das,108111,49.41,AITC,Paritosh Kumar Saha,98319,44.94,9792,4.469999999999999,BJP,AITC Bloc,22 April 2021
95,Bangaon Uttar (SC),BANGAON UTTAR (SC),BJP,Ashok Kirtania,97761,47.65,AITC,Shyamal Roy,87273,42.54,10488,5.109999999999999,BJP,AITC Bloc,22 April 2021
96,Bangaon Dakshin (SC),BANGAON DAKSHIN (SC),BJP,Swapan Majumder,97828,47.07,AITC,Alo Rani Sarkar,95824,46.11,2004,0.9600000000000009,BJP,AITC Bloc,22 April 2021
97,Gaighata (SC),GAIGHATA (SC),BJP,Subrata Thakur,100808,47.27,AITC,Narottam Biswas,91230,42.78,9578,4.490000000000002,BJP,AITC Bloc,22 April 2021
98,Swarupnagar (SC),SWARUPNAGAR (SC),AITC,Bina Mondal,99784,47.11,BJP,Brindaban Sarkar,64984,30.68,34800,16.43,AITC Bloc,BJP,22 April 2021
99,Baduria,BADURIA,AITC,Abdur Rahim Quazi,109701,51.53,BJP,Sukalyan Baidya,53257,25.02,56444,26.51,AITC Bloc,BJP,22 April 2021
100,Habra,HABRA,AITC,Jyotipriya Mallick,90533,44.34,BJP,Biswajit Sinha,86692,42.46,3841,1.8800000000000026,AITC Bloc,BJP,22 April 2021
101,Ashoknagar,ASHOKNAGAR,AITC,Narayan Goswami,93587,43.18,BJP,Tanuja Chakraborty,70055,32.32,23532,10.86,AITC Bloc,BJP,22 April 2021
102,Amdanga,AMDANGA,AITC,Rafiqur Rahaman,88935,42.0,BJP,Joydev Manna,63455,29.97,25480,12.030000000000001,AITC Bloc,BJP,22 April 2021
103,Bijpur,BIJPUR,AITC,Subodh Adhikary,66625,47.9,BJP,Subhranshu Roy,53278,38.3,13347,9.600000000000001,AITC Bloc,BJP,22 April 2021
104,Naihati,NAIHATI,AITC,Partha Bhowmick,77753,49.69,BJP,Phalguni Patra,58898,37.64,18855,12.049999999999997,AITC Bloc,BJP,22 April 2021
105,Bhatpara,BHATPARA,BJP,Pawan Kumar Singh,57244,53.4,AITC,Jitendra Shaw,43557,40.63,13687,12.769999999999996,BJP,AITC Bloc,22 April 2021
106,Jagatdal,JAGATDAL,AITC,Somenath Shyam Ichini,87030,48.01,BJP,Arindam Bhattacharya,68666,37.88,18364,10.129999999999995,AITC Bloc,BJP,22 April 2021
107,Noapara,NOAPARA,AITC,Manju Basu,94203,48.9,BJP,Sunil Singh,67493,35.04,26710,13.86,AITC Bloc,BJP,22 April 2021
108,Barrackpore,BARRACKPORE,AITC,Raj Chakraborty,68887,46.47,BJP,Chandramani Shukla,59665,40.25,9222,6.219999999999999,AITC Bloc,BJP,22 April 2021
109,Khardaha,KHARDAHA,AITC,Kajal Sinha,89807,49.04,BJP,Silbhadra Datta,61667,33.67,28140,15.369999999999997,AITC Bloc,BJP,22 April 2021
110,Dum Dum Uttar,DUM DUM UTTAR,AITC,Chandrima Bhattacharya,95465,44.79,BJP,Dr. Archana Majumdar,66966,31.42,28499,13.369999999999997,AITC Bloc,BJP,22 April 2021
111,Panihati,PANIHATI,AITC,Nirmal Ghosh,86495,49.61,BJP,Sanmoy Bandyopadhyay,61318,35.17,25177,14.439999999999998,AITC Bloc,BJP,17 April 2021
112,Kamarhati,KAMARHATI,AITC,Madan Mitra,73845,51.17,BJP,Anindya Banerjee,38437,26.64,35408,24.53,AITC Bloc,BJP,17 April 2021
113,Baranagar,BARANAGAR,AITC,Tapas Roy,85615,53.42,BJP,Parno Mitra,50468,31.49,35147,21.930000000000003,AITC Bloc,BJP,17 April 2021
114,Dum Dum,DUM DUM,AITC,Bratya Basu,87999,47.48,BJP,Bimalshankar Nanda,61368,33.06,26731,14.419999999999995,AITC Bloc,BJP,17 April 2021
115,Rajarhat New Town,RAJARHAT NEW TOWN,AITC,Tapash Chatterjee,127374,54.22,BJP,Bhaskar Roy,70942,30.2,56432,24.02,AITC Bloc,BJP,17 April 2021
