phase,district,ac_no,ac_name_pdf,male_electors,female_electors,third_gender_electors,total_electors,female_share,male_share
1,Coochbehar,1,MEKLIGANJ (SC),116228,108183,2,224413,0.48207100301675926,0.5179200848435697
1,Coochbehar,2,MATHABHANGA (SC),129331,119425,1,248757,0.48008699252684345,0.5199089874857793
1,Coochbehar,3,COOCHBEHAR UTTAR (SC),136255,126823,0,263078,0.4820737575928052,0.5179262424071949
1,Coochbehar,4,COOCHBEHAR DAKSHIN,109394,104570,4,213968,0.488717939131085,0.511263366484708
1,Coochbehar,5,SITALKUCHI (SC),151129,134416,3,285548,0.4707299648395366,0.5292595290459047
1,Coochbehar,6,SITAI (SC),143133,129993,0,273126,0.475945168164144,0.524054831835856
1,Coochbehar,7,DINHATA,143513,133778,0,277291,0.48244623878885357,0.5175537612111464
1,Coochbehar,8,NATABARI,123248,116669,6,239923,0.4862768471551289,0.5136981448214636
1,Coochbehar,9,TUFANGANJ,122055,115611,1,237667,0.48644111298581627,0.5135546794464524
1,Alipurduar,10,KUMARGRAM (ST),134118,125375,3,259496,0.483148102475568,0.5168403366525881
1,Alipurduar,11,KALCHINI (ST),109713,111742,2,221457,0.5045765092094627,0.49541445969194925
1,Alipurduar,12,ALIPURDUARS,123903,120423,5,244331,0.4928682811432033,0.5071112548141661
1,Alipurduar,13,FALAKATA (SC),126099,119160,5,245264,0.48584382542892557,0.5141357883749755
1,Alipurduar,14,MADARIHAT (ST),96262,97695,1,193958,0.5036915208447189,0.49630332339991134
1,Jalpaiguri,15,DHUPGURI (SC),133196,124925,6,258127,0.4839671944430455,0.5160095611849981
1,Jalpaiguri,16,MAYNAGURI (SC),133769,124776,0,258545,0.48260844340443637,0.5173915565955637
1,Jalpaiguri,17,JALPAIGURI (SC),126563,123816,2,250381,0.4945103662019083,0.5054816459715393
1,Jalpaiguri,18,RAJGANJ (SC),119299,111495,1,230795,0.4830910548322104,0.5169046123182911
1,Jalpaiguri,19,DABGRAM-PHULBARI,133222,131154,4,264380,0.4960813979877449,0.5039034722747561
1,Jalpaiguri,20,MAL (ST),118926,118526,0,237452,0.49915772450853224,0.5008422754914678
1,Jalpaiguri,21,NAGRAKATA (ST),107824,112292,2,220118,0.510144558827538,0.48984635513679026
1,Kalimpong,22,KALIMPONG,100846,100773,0,201619,0.49981896547448407,0.500181034525516
1,Darjeeling,23,DARJEELING,103033,104681,2,207716,0.5039621406150706,0.4960282308536656
1,Darjeeling,24,KURSEONG,106014,110135,3,216152,0.5095257041341278,0.4904604167437729
1,Darjeeling,25,MATIGARA-NAXALBARI (SC),133571,134906,3,268480,0.50248063170441,0.49750819427890347
1,Darjeeling,26,SILIGURI,99920,100844,15,200779,0.5022636829548907,0.49766160803669707
1,Darjeeling,27,PHANSIDEWA (ST),109526,107769,3,217298,0.49595026185238705,0.5040359322221097
1,Uttar Dinajpur,28,CHOPRA,120091,99140,5,219236,0.452206754365159,0.5477704391614516
1,Uttar Dinajpur,29,ISLAMPUR,107891,94318,8,202217,0.46641973721299396,0.5335407013258034
1,Uttar Dinajpur,30,GOALPOKHAR,107310,92154,4,199468,0.46199891711953794,0.5379810295385726
1,Uttar Dinajpur,31,CHAKULIA,114782,101311,2,216095,0.4688262106943705,0.5311645341169393
1,Uttar Dinajpur,32,KARANDIGHI,121620,109975,4,231599,0.4748509276810349,0.525131801087224
1,Uttar Dinajpur,33,HEMTABAD (SC),130939,115587,4,246530,0.46885571735691395,0.5311280574372287
1,Uttar Dinajpur,34,KALIAGANJ (SC),140401,127867,13,268281,0.47661593627577054,0.5233356070687079
1,Uttar Dinajpur,35,RAIGANJ,87504,86601,21,174126,0.49734674890596464,0.5025326487715792
1,Uttar Dinajpur,36,ITAHAR,110488,100929,5,211422,0.477381729432131,0.522594621184172
1,Dakshin Dinajpur,37,KUSHMUNDI (SC),108310,97553,4,205867,0.4738641938727431,0.526116376106904
1,Dakshin Dinajpur,38,KUMARGANJ,93373,87008,4,180385,0.4823460930786928,0.5176317321285029
1,Dakshin Dinajpur,39,BALURGHAT,84215,82683,14,166912,0.495368817101227,0.5045473063650306
1,Dakshin Dinajpur,40,TAPAN (ST),99485,95426,3,194914,0.489580019906215,0.5104045886903968
1,Dakshin Dinajpur,41,GANGARAMPUR (SC),103818,96318,10,200146,0.481238695752101,0.5187113407212735
1,Dakshin Dinajpur,42,HARIRAMPUR,108885,102402,8,211295,0.484639958352067,0.5153221798906742
1,Malda,43,HABIBPUR (ST),120886,117339,5,238230,0.4925450195189523,0.507433992360324
1,Malda,44,GAZOLE (SC),129859,125223,3,255085,0.4909069525844326,0.5090812866299469
1,Malda,45,CHANCHAL,126863,117560,5,244428,0.48095962819316934,0.5190199158852504
1,Malda,46,HARISCHANDRA-PUR,126029,112818,3,238850,0.47233828762821856,0.5276491521875654
1,Malda,47,MALATIPUR,113524,99158,9,212691,0.46620684467137774,0.5337508404210803
1,Malda,48,RATUA,130127,116413,7,246547,0.47217366262822097,0.52779794521937
1,Malda,49,MANICKCHAK,124739,111024,2,235765,0.47090959217865247,0.529081924797998
1,Malda,50,MALDAHA (SC),117002,114341,5,231348,0.4942381174680568,0.5057402700693328
1,Malda,51,ENGLISH BAZAR,123959,125171,7,249137,0.5024183481377716,0.4975535548714161
1,Malda,52,MOTHABARI,86660,82681,6,169347,0.4882342173171063,0.5117303524715525
1,Malda,53,SUJAPUR,120729,115707,7,236443,0.4893653015737408,0.510605092982241
1,Malda,54,BAISHNABNAGAR,121683,112174,8,233865,0.4796527911401877,0.5203130010903726
1,Murshidabad,55,FARAKKA,93170,88485,4,181659,0.487093950753885,0.5128840299682372
1,Murshidabad,56,SAMSERGANJ,78004,83430,1,161435,0.5168024282218849,0.48319137733453094
1,Murshidabad,57,SUTI,121353,107854,1,229208,0.4705507661163659,0.5294448710341698
1,Murshidabad,58,JANGIPUR,113009,107846,4,220859,0.4883024916349345,0.5116793972625069
1,Murshidabad,59,RAGHUNATHGANJ,103911,96541,0,200452,0.48161654660467346,0.5183834533953265
1,Murshidabad,60,SAGARDIGHI,113465,103508,4,216977,0.47704595417947526,0.522935610686847
1,Murshidabad,61,LALGOLA,94311,91868,3,186182,0.493431158758634,0.5065527279758516
1,Murshidabad,62,BHAGABAN GOLA,114659,109958,1,224618,0.48953334105013846,0.5104622069469054
1,Murshidabad,63,RANINAGAR,126493,117894,4,244391,0.48239910635007016,0.5175845264350979
1,Murshidabad,64,MURSHIDABAD,126372,121896,1,248269,0.49098357024034417,0.5090124018705517
1,Murshidabad,65,NABAGRAM (SC),124325,118697,3,243025,0.48841477214278367,0.511572883448205
1,Murshidabad,66,KHARGRAM (SC),120073,110389,2,230464,0.47898587198000553,0.5210054498750347
1,Murshidabad,67,BURWAN (SC),111612,102386,5,214003,0.47843254533814944,0.5215440905034041
1,Murshidabad,68,KANDI,120346,112675,3,233024,0.4835338849217248,0.5164532408678935
1,Murshidabad,69,BHARATPUR,124672,114508,4,239184,0.4787443976185698,0.5212388788547729
1,Murshidabad,70,REJINAGAR,133771,122490,6,256267,0.4779780463344871,0.5219985405846246
1,Murshidabad,71,BELDANGA,126928,117052,4,243984,0.47975277067348676,0.5202308348088399
1,Murshidabad,72,BAHARAMPUR,118741,122079,10,240830,0.5069094381929161,0.49304903874102063
1,Murshidabad,73,HARIHARPARA,126586,118890,8,245484,0.4843085496407098,0.5156588616773394
1,Murshidabad,74,NOWDA,122837,112898,2,235737,0.4789150621243165,0.5210764538447508
1,Murshidabad,75,DOMKAL,137988,129383,3,267374,0.4839026980933075,0.5160860816683747
1,Murshidabad,76,JALANGI,136138,126647,2,262787,0.4819378431962007,0.5180545460772412
2,Nadia,77,KARIMPUR,130536,122305,3,252844,0.48371723276012085,0.5162709022163864
2,Nadia,78,TEHATTA,131243,121184,4,252431,0.4800678205133284,0.5199163335723426
2,Nadia,79,PALASHIPARA,122063,109553,4,231620,0.47298592522234695,0.5269968051118211
2,Nadia,80,KALIGANJ,121552,110905,3,232460,0.4770928331756001,0.5228942613783016
2,Nadia,81,NAKASHIPARA,115752,102914,3,218669,0.4706382706282098,0.5293480100059907
2,Nadia,82,CHAPRA,123420,108637,0,232057,0.46814791193542965,0.5318520880645703
2,Nadia,83,KRISHNANAGAR UTTAR,109610,106841,5,216456,0.49359223121558193,0.5063846694016336
2,Nadia,84,NABADWIP,118182,111826,3,230011,0.48617674806857064,0.5138102090769572
2,Nadia,85,KRISHNANAGAR DAKSHIN,109405,100374,2,209781,0.47847040485077297,0.521520061397362
2,Nadia,86,SANTIPUR,118363,109105,9,227477,0.4796309077401232,0.520329527820395
2,Nadia,87,RANAGHAT UTTAR PASCHIM,119177,113531,8,232716,0.4878521459633201,0.5121134773715602
2,Nadia,88,KRISHNAGANJ,132520,120515,1,253036,0.476276103005106,0.523719944988065
2,Nadia,89,RANAGHAT UTTAR PURBA,122368,110022,9,232399,0.4734185603208275,0.5265427131786281
2,Nadia,90,RANAGHAT DAKSHIN,130916,122428,2,253346,0.4832442588396896,0.5167478468181854
2,Nadia,91,CHAKDAHA,115182,108796,3,223981,0.4857376295310763,0.5142489764756832
2,Nadia,92,KALYANI,117783,112699,7,230489,0.4889560890107554,0.5110135407763494
2,Nadia,93,HARINGHATA,116952,108152,5,225109,0.48044280770648884,0.5195349808315083
2,North 24 Parganas,94,BAGDA,126236,114747,6,240989,0.4761503637095469,0.523824738888497
2,North 24 Parganas,95,BANGAON UTTAR,116517,109424,21,225962,0.48425841513174783,0.5156486488878661
2,North 24 Parganas,96,BANGAON DAKSHIN,117928,110425,6,228359,0.48355878244343337,0.5164149431377787
2,North 24 Parganas,97,GAIGHATA,113921,108799,3,222723,0.48849467724482876,0.5114918531090188
2,North 24 Parganas,98,SWARUPNAGAR,119447,109516,2,228965,0.47830891184242136,0.5216823531980871
2,North 24 Parganas,99,BADURIA,122187,113971,4,236162,0.4825966921011848,0.5173863703728796
2,North 24 Parganas,100,HABRA,107658,101156,8,208822,0.4844125618948195,0.5155491279654443
2,North 24 Parganas,101,ASHOKNAGAR,117314,112185,7,229506,0.4888107500457504,0.5111587496623182
2,North 24 Parganas,102,AMDANGA,115380,105823,4,221207,0.4783890202389617,0.5215928971506326
2,North 24 Parganas,103,BIJPUR,80060,78032,4,158096,0.49357352494686774,0.506401173970246
2,North 24 Parganas,104,NAIHATI,85321,85251,9,170581,0.49976843845445856,0.5001788006870637
2,North 24 Parganas,105,BHATPARA,61817,55375,3,117195,0.47250309313537264,0.5274713085029225
2,North 24 Parganas,106,JAGATDAL,99648,95971,11,195630,0.49057404283596584,0.5093697285692379
2,North 24 Parganas,107,NOAPARA,107095,106628,4,213727,0.4988981270499282,0.5010831574859517
2,North 24 Parganas,108,BARRACKPUR,86097,84548,1,170646,0.49545843441979304,0.5045357054955873
2,North 24 Parganas,109,KHARDAHA,104991,104857,7,209855,0.4996640537513998,0.500302589883491
2,North 24 Parganas,110,DUM DUM UTTAR,118324,122013,4,240341,0.5076661909536866,0.49231716602660386
2,North 24 Parganas,111,PANIHATI,93805,95905,4,189714,0.505524104704977,0.4944548109259201
2,North 24 Parganas,112,KAMARHATI,80693,81947,6,162646,0.503836553004685,0.49612655706257763
2,North 24 Parganas,113,BARANAGAR,90690,95847,4,186541,0.5138119769916533,0.48616658000117935
2,North 24 Parganas,114,DUM DUM,105629,111908,4,217541,0.5144225686192487,0.4855590440422725
2,North 24 Parganas,115,RAJARHAT NEW TOWN,136100,131541,4,267645,0.4914756487137813,0.5085094061163108
2,North 24 Parganas,116,BIDHANNAGAR,98891,104979,7,203877,0.5149134036698597,0.48505226190301015
2,North 24 Parganas,117,RAJARHAT GOPALPUR,106453,112429,8,218890,0.5136324181095527,0.48633103385262005
2,North 24 Parganas,118,MADHYAMGRAM,123863,120618,4,244485,0.49335542057794957,0.5066282185001125
2,North 24 Parganas,119,BARASAT,126025,126398,16,252439,0.5007071015175943,0.49922951683376976
2,North 24 Parganas,120,DEGANGA,124607,115396,4,240007,0.48080264325623834,0.5191806905631919
2,North 24 Parganas,121,HAROA,127503,115892,5,243400,0.4761380443714051,0.5238414133114215
2,North 24 Parganas,122,MINAKHAN,119376,102631,4,222011,0.46227889609073425,0.5377030867839881
2,North 24 Parganas,123,SANDESHKHALI,117641,105623,5,223269,0.4730750798364305,0.526902525652912
2,North 24 Parganas,124,BASIRHAT DAKSHIN,132772,127583,6,260361,0.4900234674163949,0.5099534876575217
2,North 24 Parganas,125,BASIRHAT UTTAR,126777,118608,3,245388,0.4833488190131547,0.5166389554501443
2,North 24 Parganas,126,HINGALGANJ,112034,103084,4,215122,0.47918855347198336,0.5207928524279246
2,South 24 Parganas,127,GOSABA,115665,105663,4,221332,0.47739594816836245,0.5225859794336111
2,South 24 Parganas,128,BASANTI,125989,114312,2,240303,0.47569942947029376,0.5242922477039405
2,South 24 Parganas,129,KULTALI,138128,123591,17,261736,0.47219717578017545,0.5277378732768897
2,South 24 Parganas,130,PATHARPRATIMA,135804,121898,2,257704,0.47301555272715984,0.526976686430944
2,South 24 Parganas,131,KAKDWIP,126170,115546,4,241720,0.4780158861492636,0.5219675657785868
2,South 24 Parganas,132,SAGAR,143904,130199,0,274103,0.47500027361977065,0.5249997263802293
2,South 24 Parganas,133,KULPI,112797,103818,5,216620,0.47926322592558396,0.5207136921798541
2,South 24 Parganas,134,RAIDIGHI,139455,128386,5,267846,0.4793276733645453,0.5206536591922224
2,South 24 Parganas,135,MANDIRBAZAR,115580,106506,4,222090,0.4795623395920573,0.5204196496915665
2,South 24 Parganas,136,JOYNAGAR,118512,108720,6,227238,0.4784411058009664,0.5215324901644971
2,South 24 Parganas,137,BARUIPUR PURBA,126745,118350,11,245106,0.48285231695674524,0.5171028045009098
2,South 24 Parganas,138,CANNING PASCHIM,123786,114439,11,238236,0.4803598112795715,0.5195940160177304
2,South 24 Parganas,139,CANNING PURBA,129566,117083,24,246673,0.474648623886684,0.5252540813141284
2,South 24 Parganas,140,BARUIPUR PASCHIM,116620,116455,22,233097,0.4995988794364578,0.5003067392544734
2,South 24 Parganas,141,MAGRAHAT PURBA,122770,109817,2,232589,0.4721504456358641,0.5278409555052045
2,South 24 Parganas,142,MAGRAHAT PASCHIM,113942,103074,6,217022,0.47494724037194386,0.5250251126613892
2,South 24 Parganas,143,DIAMOND HARBOUR,125553,119541,3,245097,0.4877293479724354,0.5122584119756668
2,South 24 Parganas,144,FALTA,121300,115135,9,236444,0.4869440544061173,0.5130178816125595
2,South 24 Parganas,145,SATGACHHIA,132022,124220,9,256251,0.4847590838669898,0.5152057943188514
2,South 24 Parganas,146,BISHNUPUR,137741,130512,13,268266,0.48650220303728386,0.5134493375977575
2,South 24 Parganas,147,SONARPUR DAKSHIN,128960,132016,17,260993,0.5058219952259256,0.49411286892751916
2,South 24 Parganas,148,BHANGAR,142681,130016,14,272711,0.4767537796421853,0.5231948839614097
2,South 24 Parganas,149,KASBA,131451,134158,7,265616,0.5050825251490874,0.4948911210168062
2,South 24 Parganas,150,JADAVPUR,124529,136288,4,260821,0.5225346118602413,0.4774500519513383
2,South 24 Parganas,151,SONARPUR UTTAR,135666,137535,18,273219,0.5033873925312661,0.49654672625256663
2,South 24 Parganas,152,TOLLYGANJ,110663,119323,8,229994,0.5188091863265998,0.48115603015730846
2,South 24 Parganas,153,BEHALA PURBA,126011,133735,6,259752,0.5148564784871724,0.4851204225569004
2,South 24 Parganas,154,BEHALA PASCHIM,128607,137562,4,266173,0.5168142523847272,0.4831707197950205
2,South 24 Parganas,155,MAHESHTALA,122964,120390,11,243365,0.4946890473157603,0.505265753086927
2,South 24 Parganas,156,BUDGE BUDGE,117406,112495,6,229907,0.48930654569021387,0.5106673568007933
2,South 24 Parganas,157,METIABURUZ,100723,88768,3,189494,0.4684475497904947,0.5315366185736752
2,Kolkata South,158,KOLKATA PORT,91335,80275,5,171615,0.4677621420039041,0.5322087230137226
2,Kolkata South,159,BHABANIPUR,81108,79199,6,160313,0.49402730907661885,0.505935264139527
2,Kolkata South,160,RASHBEHARI,76263,82137,6,158406,0.5185220256808454,0.481440096966024
2,Kolkata South,161,BALLYGUNGE,96205,92627,7,188839,0.4905077870566991,0.5094551443292964
2,Kolkata North,162,CHOWRANGEE,67355,58989,5,126349,0.466873501175316,0.5330869258957333
2,Kolkata North,163,ENTALLY,91760,87109,8,178877,0.48697708481246893,0.5129781917183316
2,Kolkata North,164,BELEGHATA,97037,93556,6,190599,0.49085252283590153,0.5091159974606373
