phase,district,ac_no,ac_name_pdf,male_electors,female_electors,third_gender_electors,total_electors,female_share,male_share,ac_name,ac_name_results,winner_party,winner_candidate,winner_votes,winner_pct,runner_party,runner_candidate,runner_votes,runner_pct,margin_votes,margin_pct_points,winner_bloc,runner_bloc,voting_date,other_pct,base_aitc_bloc_pct,base_bjp_pct,base_left_cong_isf_bloc_pct,base_others_pct,is_close_seat,seat_size_band
1,Coochbehar,1,MEKLIGANJ (SC),116228,108183,2,224413,0.48207100301675926,0.5179200848435697,Mekliganj (SC),MEKLIGANJ (SC),AITC,Paresh Chandra Adhikary,99338,49.98,BJP,Dadhiram Ray,84653,42.59,14685,7.3899999999999935,AITC Bloc,BJP,10 April 2021,7.43,49.98,42.59,0.0,7.43,False,Medium
1,Coochbehar,2,MATHABHANGA (SC),129331,119425,1,248757,0.48008699252684345,0.5199089874857793,Mathabhanga (SC),MATHABHANGA (SC),BJP,Sushil Barman,113249,52.87,AITC,Girindra Nath Barman,87115,40.67,26134,12.199999999999996,BJP,AITC Bloc,10 April 2021,6.460000000000001,40.67,52.87,0.0,6.460000000000001,False,Large
1,Coochbehar,3,COOCHBEHAR UTTAR (SC),136255,126823,0,263078,0.4820737575928052,0.5179262424071949,Cooch Behar Uttar (SC),COOCH BEHAR UTTAR (SC),BJP,Sukumar Roy,120483,49.4,AITC,Binay Krishna Barman,105868,43.4,14615,6.0,BJP,AITC Bloc,10 April 2021,7.200000000000003,43.4,49.4,0.0,7.200000000000003,False,Very Large
1,Coochbehar,4,COOCHBEHAR DAKSHIN,109394,104570,4,213968,0.488717939131085,0.511263366484708,Cooch Behar Dakshin,COOCH BEHAR DAKSHIN,BJP,Nikhil Ranjan Dey,96629,46.83,AITC,Avijit De Bhowmik,91830,44.31,4799,2.519999999999996,BJP,AITC Bloc,10 April 2021,8.86,44.31,46.83,0.0,8.86,True,Small
1,Coochbehar,5,SITALKUCHI (SC),151129,134416,3,285548,0.4707299648395366,0.5292595290459047,Sitalkuchi (SC),SITALKUCHI (SC),BJP,Baren Chandra Barman,124955,50.8,AITC,Partha Pratim Ray,107140,43.56,17815,7.239999999999995,BJP,AITC Bloc,10 April 2021,5.640000000000001,43.56,50.8,0.0,5.640000000000001,False,Very Large
1,Coochbehar,6,SITAI (SC),143133,129993,0,273126,0.475945168164144,0.524054831835856,Sitai (SC),SITAI (SC),AITC,Jagadish Chandra Barma Basunia,117908,49.42,BJP,Dipak Kumar Roy,107796,45.18,10112,4.240000000000002,AITC Bloc,BJP,10 April 2021,5.399999999999999,49.42,45.18,0.0,5.399999999999999,True,Very Large
1,Coochbehar,7,DINHATA,143513,133778,0,277291,0.48244623878885357,0.5175537612111464,Dinhata,DINHATA,BJP,Nisith Pramanik,116035,47.6,AITC,Udayan Guha,115978,47.58,57,0.020000000000003126,BJP,AITC Bloc,10 April 2021,4.82,47.58,47.6,0.0,4.82,True,Very Large
1,Coochbehar,8,NATABARI,123248,116669,6,239923,0.4862768471551289,0.5136981448214636,Natabari,NATABARI,BJP,Mihir Goswami,111743,51.45,AITC,Rabindra Nath Ghosh,88303,40.66,23440,10.790000000000006,BJP,AITC Bloc,10 April 2021,7.890000000000001,40.66,51.45,0.0,7.890000000000001,False,Large
1,Coochbehar,9,TUFANGANJ,122055,115611,1,237667,0.48644111298581627,0.5135546794464524,Tufanganj,TUFANGANJ,BJP,Malati Rava Roy,114503,54.69,AITC,Pranab Kumar Dey,83305,39.79,31198,14.899999999999999,BJP,AITC Bloc,10 April 2021,5.520000000000003,39.79,54.69,0.0,5.520000000000003,False,Large
1,Alipurduar,10,KUMARGRAM (ST),134118,125375,3,259496,0.483148102475568,0.5168403366525881,Kumargram (ST),KUMARGRAM (ST),BJP,Manoj Kumar Oraon,111974,48.16,AITC,Leos Kujar,100973,43.43,11001,4.729999999999997,BJP,AITC Bloc,10 April 2021,8.410000000000004,43.43,48.16,0.0,8.410000000000004,True,Very Large
1,Alipurduar,11,KALCHINI (ST),109713,111742,2,221457,0.5045765092094627,0.49541445969194925,Kalchini (ST),KALCHINI (ST),BJP,Bishal Lama,103104,52.65,AITC,Pasang Lama,74528,38.06,28576,14.589999999999996,BJP,AITC Bloc,10 April 2021,9.29,38.06,52.65,0.0,9.29,False,Medium
1,Alipurduar,12,ALIPURDUARS,123903,120423,5,244331,0.4928682811432033,0.5071112548141661,Alipurduars,ALIPURDUARS,BJP,Suman Kanjilal,107333,48.19,AITC,Sourav Chakraborty,91326,41.0,16007,7.189999999999998,BJP,AITC Bloc,10 April 2021,10.810000000000002,41.0,48.19,0.0,10.810000000000002,False,Large
1,Alipurduar,13,FALAKATA (SC),126099,119160,5,245264,0.48584382542892557,0.5141357883749755,Falakata,FALAKATA,BJP,Dipak Barman,102993,46.71,AITC,Subhash Chanda Roy,99003,44.9,3990,1.8100000000000023,BJP,AITC Bloc,10 April 2021,8.39,44.9,46.71,0.0,8.39,True,Large
1,Alipurduar,14,MADARIHAT (ST),96262,97695,1,193958,0.5036915208447189,0.49630332339991134,Madarihat,MADARIHAT,BJP,Manoj Tigga,90718,54.35,AITC,Rajesh Lakra,61033,36.56,29685,17.79,BJP,AITC Bloc,10 April 2021,9.089999999999996,36.56,54.35,0.0,9.089999999999996,False,Small
1,Jalpaiguri,15,DHUPGURI (SC),133196,124925,6,258127,0.4839671944430455,0.5160095611849981,Dhupguri (SC),DHUPGURI (SC),BJP,Bishnu Pada Ray,104688,45.64,AITC,Mitali Roy,100333,43.75,4355,1.8900000000000006,BJP,AITC Bloc,17 April 2021,10.61,43.75,45.64,0.0,10.61,True,Very Large
1,Jalpaiguri,16,MAYNAGURI (SC),133769,124776,0,258545,0.48260844340443637,0.5173915565955637,Maynaguri (SC),MAYNAGURI (SC),BJP,Kaushik Roy,115306,48.84,AITC,Manoj Roy,103395,43.79,11911,5.050000000000004,BJP,AITC Bloc,17 April 2021,7.369999999999997,43.79,48.84,0.0,7.369999999999997,False,Very Large
1,Jalpaiguri,17,JALPAIGURI (SC),126563,123816,2,250381,0.4945103662019083,0.5054816459715393,Jalpaiguri (SC),JALPAIGURI (SC),AITC,Pradip Kumar Barma,95668,42.34,BJP,Sujit Singha,94727,41.93,941,0.4100000000000037,AITC Bloc,BJP,17 April 2021,15.729999999999997,42.34,41.93,0.0,15.729999999999997,True,Large
1,Jalpaiguri,18,RAJGANJ (SC),119299,111495,1,230795,0.4830910548322104,0.5169046123182911,Rajganj (SC),RAJGANJ (SC),AITC,Khageswar Roy,104641,48.5,BJP,Supen Roy,88868,41.19,15773,7.310000000000002,AITC Bloc,BJP,17 April 2021,10.310000000000002,48.5,41.19,0.0,10.310000000000002,False,Medium
1,Jalpaiguri,19,DABGRAM-PHULBARI,133222,131154,4,264380,0.4960813979877449,0.5039034722747561,Dabgram-Phulbari,DABGRAM-PHULBARI,BJP,Sikha Chatteree,129088,49.85,AITC,Goutam Deb,101495,39.19,27593,10.660000000000004,BJP,AITC Bloc,17 April 2021,10.96,39.19,49.85,0.0,10.96,False,Very Large
1,Jalpaiguri,20,MAL (ST),118926,118526,0,237452,0.49915772450853224,0.5008422754914678,Mal (ST),MAL (ST),AITC,Bulu Chik Baraik,99086,46.46,BJP,Mahesh Bagey,93621,43.9,5465,2.5600000000000023,AITC Bloc,BJP,17 April 2021,9.64,46.46,43.9,0.0,9.64,True,Large
1,Jalpaiguri,21,NAGRAKATA (ST),107824,112292,2,220118,0.510144558827538,0.48984635513679026,Nagrakata (ST),NAGRAKATA (ST),BJP,Puna Bhengra,70945,47.78,AITC,Joseph Munda,56543,38.08,14402,9.700000000000003,BJP,AITC Bloc,17 April 2021,14.14,38.08,47.78,0.0,14.14,False,Medium
1,Kalimpong,22,KALIMPONG,100846,100773,0,201619,0.49981896547448407,0.500181034525516,Kalimpong,KALIMPONG,GJM (Tamang),Ruden Sada Lepcha,58206,37.59,BJP,Suva Pradhan,54336,35.09,3870,2.5,AITC Bloc,BJP,17 April 2021,27.319999999999993,37.59,35.09,0.0,27.319999999999993,True,Small
1,Darjeeling,23,DARJEELING,103033,104681,2,207716,0.5039621406150706,0.4960282308536656,Darjeeling,DARJEELING,BJP,Neeraj Zimba,68907,40.88,GJM (Tamang),Keshav Raj Sharma,47631,28.26,21726,12.620000000000001,BJP,AITC Bloc,17 April 2021,30.859999999999996,28.26,40.88,0.0,30.859999999999996,False,Small
1,Darjeeling,24,KURSEONG,106014,110135,3,216152,0.5095257041341278,0.4904604167437729,Kurseong,KURSEONG,BJP,Bishnu Prasad Sharma,73475,41.86,GJM (Tamang),Tshering Lama Dahal,57960,33.02,15515,8.839999999999996,BJP,AITC Bloc,17 April 2021,25.119999999999997,33.02,41.86,0.0,25.119999999999997,False,Small
1,Darjeeling,25,MATIGARA-NAXALBARI (SC),133571,134906,3,268480,0.50248063170441,0.49750819427890347,Matigara-Naxalbari (SC),MATIGARA-NAXALBARI (SC),BJP,Anandamoy Barman,139785,58.1,AITC,Rajen Sundas,68454,28.65,70848,29.450000000000003,BJP,AITC Bloc,17 April 2021,13.25,28.65,58.1,0.0,13.25,False,Very Large
1,Darjeeling,26,SILIGURI,99920,100844,15,200779,0.5022636829548907,0.49766160803669707,Siliguri,SILIGURI,BJP,Shankar Ghosh,89370,50.03,AITC,Om Prakash Mishra,53784,30.11,35586,19.92,BJP,AITC Bloc,17 April 2021,19.86,30.11,50.03,0.0,19.86,False,Small
1,Darjeeling,27,PHANSIDEWA (ST),109526,107769,3,217298,0.49595026185238705,0.5040359322221097,Phansidewa (ST),PHANSIDEWA (ST),BJP,Durga Murmu,105651,50.89,AITC,Choton Kisku,77940,37.55,27711,13.340000000000003,BJP,AITC Bloc,17 April 2021,11.560000000000002,37.55,50.89,0.0,11.560000000000002,False,Small
1,Uttar Dinajpur,28,CHOPRA,120091,99140,5,219236,0.452206754365159,0.5477704391614516,Chopra,CHOPRA,AITC,Hamidul Rahaman,124923,61.2,BJP,Md. Shahin Akhtar,59604,29.4,65319,31.800000000000004,AITC Bloc,BJP,22 April 2021,9.399999999999999,61.2,29.4,0.0,9.399999999999999,False,Medium
1,Uttar Dinajpur,29,ISLAMPUR,107891,94318,8,202217,0.46641973721299396,0.5335407013258034,Islampur,ISLAMPUR,AITC,Abdul Karim Chowdhury,100131,58.91,BJP,Saumya Roop Mandal,62691,36.88,37440,22.029999999999994,AITC Bloc,BJP,22 April 2021,4.210000000000001,58.91,36.88,0.0,4.210000000000001,False,Small
1,Uttar Dinajpur,30,GOALPOKHAR,107310,92154,4,199468,0.46199891711953794,0.5379810295385726,Goalpokhar,GOALPOKHAR,AITC,Md. Ghulam Rabbani,105649,65.4,BJP,Gulam Sarwar,32135,19.89,73514,45.510000000000005,AITC Bloc,BJP,22 April 2021,14.709999999999994,65.4,19.89,0.0,14.709999999999994,False,Small
1,Uttar Dinajpur,31,CHAKULIA,114782,101311,2,216095,0.4688262106943705,0.5311645341169393,Chakulia,CHAKULIA,AITC,Minhajul Arfin Azad,86311,49.78,BJP,Sachin Prasad,52474,30.26,33837,19.52,AITC Bloc,BJP,22 April 2021,19.959999999999997,49.78,30.26,0.0,19.959999999999997,False,Small
1,Uttar Dinajpur,32,KARANDIGHI,121620,109975,4,231599,0.4748509276810349,0.525131801087224,Karandighi,KARANDIGHI,AITC,Goutam Pal,116594,54.7,BJP,Subhash Singha,79968,37.52,36626,17.18,AITC Bloc,BJP,22 April 2021,7.779999999999994,54.7,37.52,0.0,7.779999999999994,False,Medium
1,Uttar Dinajpur,33,HEMTABAD (SC),130939,115587,4,246530,0.46885571735691395,0.5311280574372287,Hemtabad (SC),HEMTABAD (SC),AITC,Satyajit Burman,116425,52.14,BJP,Chandima Roy,89210,39.95,27215,12.189999999999998,AITC Bloc,BJP,22 April 2021,7.909999999999997,52.14,39.95,0.0,7.909999999999997,False,Large
1,Uttar Dinajpur,34,KALIAGANJ (SC),140401,127867,13,268281,0.47661593627577054,0.5233356070687079,Kaliaganj (SC),KALIAGANJ (SC),BJP,Soumen Roy,116768,48.71,AITC,Tapan Dev Singha,94948,39.61,21820,9.100000000000001,BJP,AITC Bloc,22 April 2021,11.68,39.61,48.71,0.0,11.68,False,Very Large
1,Uttar Dinajpur,35,RAIGANJ,87504,86601,21,174126,0.49734674890596464,0.5025326487715792,Raiganj,RAIGANJ,BJP,Krishna Kalyani,79775,49.44,AITC,Kanaia Lal Agarwal,59027,36.58,20748,12.86,BJP,AITC Bloc,22 April 2021,13.980000000000004,36.58,49.44,0.0,13.980000000000004,False,Small
1,Uttar Dinajpur,36,ITAHAR,110488,100929,5,211422,0.477381729432131,0.522594621184172,Itahar,ITAHAR,AITC,Mosaraf Hossain,114645,59.1,BJP,Amit Kumar Kundu,70670,36.43,43975,22.67,AITC Bloc,BJP,22 April 2021,4.469999999999999,59.1,36.43,0.0,4.469999999999999,False,Small
1,Dakshin Dinajpur,37,KUSHMUNDI (SC),108310,97553,4,205867,0.4738641938727431,0.526116376106904,Kushmandi (SC),KUSHMANDI (SC),AITC,Rekha Roy,89968,48.88,BJP,Ranjit Kumar Roy,77384,42.08,12584,6.800000000000004,AITC Bloc,BJP,26 April 2021,9.04,48.88,42.08,0.0,9.04,False,Small
1,Dakshin Dinajpur,38,KUMARGANJ,93373,87008,4,180385,0.4823460930786928,0.5176317321285029,Kumarganj,KUMARGANJ,AITC,Toraf Hossain Mondal,89117,52.58,BJP,Manas Sarkar,59736,35.24,29381,17.339999999999996,AITC Bloc,BJP,26 April 2021,12.18,52.58,35.24,0.0,12.18,False,Small
1,Dakshin Dinajpur,39,BALURGHAT,84215,82683,14,166912,0.495368817101227,0.5045473063650306,Balurghat,BALURGHAT,BJP,Ashok Lahiri,70484,47.25,AITC,Sekhar Dasgupta,57585,38.6,12899,8.649999999999999,BJP,AITC Bloc,26 April 2021,14.149999999999999,38.6,47.25,0.0,14.149999999999999,False,Small
1,Dakshin Dinajpur,40,TAPAN (ST),99485,95426,3,194914,0.489580019906215,0.5104045886903968,Tapan (ST),TAPAN (ST),BJP,Budhrai Tudu,84381,45.29,AITC,Kalpana Kisku,82731,44.41,1650,0.8800000000000026,BJP,AITC Bloc,26 April 2021,10.300000000000004,44.41,45.29,0.0,10.300000000000004,True,Small
1,Dakshin Dinajpur,41,GANGARAMPUR (SC),103818,96318,10,200146,0.481238695752101,0.5187113407212735,Gangarampur (SC),GANGARAMPUR (SC),BJP,Satyendra Nath Ray,88724,46.82,AITC,Goutam Das,84132,44.4,4592,2.4200000000000017,BJP,AITC Bloc,26 April 2021,8.780000000000001,44.4,46.82,0.0,8.780000000000001,True,Small
1,Dakshin Dinajpur,42,HARIRAMPUR,108885,102402,8,211295,0.484639958352067,0.5153221798906742,Harirampur,HARIRAMPUR,AITC,Biplab Mitra,96131,51.23,BJP,Nilanjan Roy,73459,39.15,22672,12.079999999999998,AITC Bloc,BJP,26 April 2021,9.620000000000005,51.23,39.15,0.0,9.620000000000005,False,Small
1,Malda,43,HABIBPUR (ST),120886,117339,5,238230,0.4925450195189523,0.507433992360324,Habibpur (ST),HABIBPUR (ST),BJP,Joyel Murmu,94075,47.52,AITC,Prodip Baskey,74558,37.66,19517,9.860000000000007,BJP,AITC Bloc,26 April 2021,14.82,37.66,47.52,0.0,14.82,False,Large
